 [ 78011/232840 14:22:58 < 28:32:47, 1.51 it/s, Epoch 3.35/10]
Step	Training Loss	Validation Loss	Bleu	Chrf++
22000	0.238400	0.219880	13.192042	44.072301
22500	0.235700	0.218099	13.853388	44.310677
23000	0.227900	0.220503	14.131019	45.229887
23500	0.206600	0.220882	13.619647	43.311493
24000	0.202100	0.218015	14.521809	46.278256
24500	0.201200	0.215373	14.473481	45.892334
25000	0.195500	0.213868	14.524658	45.773033
25500	0.203800	0.214441	13.961411	44.752751
26000	0.197100	0.217610	14.054104	45.363136
26500	0.202900	0.212223	14.862492	46.360558
27000	0.203000	0.209826	15.109259	46.905120
27500	0.206700	0.209244	14.397360	46.769135
28000	0.204100	0.212606	14.037143	46.600374
28500	0.197000	0.209193	14.169734	47.382544
29000	0.197500	0.208357	14.819014	47.576176
29500	0.201400	0.204658	14.612532	46.597105
30000	0.206500	0.206108	14.691104	47.852171
30500	0.192100	0.206080	15.444260	46.195987
31000	0.192800	0.203958	15.413430	47.613863
31500	0.201700	0.200248	15.491829	47.712459
32000	0.199200	0.200732	15.865730	48.106193
32500	0.188500	0.200807	14.259845	46.543308
33000	0.188800	0.198729	14.696071	48.077195
33500	0.196300	0.197846	15.280074	48.571473
34000	0.189400	0.193800	16.279137	48.556133
34500	0.196700	0.195543	15.514672	48.465737
35000	0.188400	0.192667	16.015717	48.824149
35500	0.178000	0.196440	16.561056	48.635666
36000	0.184100	0.192114	16.243505	48.475708
36500	0.193000	0.190171	16.240897	48.908600
37000	0.180700	0.191453	16.537179	48.438549
37500	0.197900	0.190379	16.090367	48.867053
38000	0.183800	0.191102	16.921041	48.753494
38500	0.188700	0.190661	17.360882	49.092123
39000	0.178600	0.187759	17.134231	49.087326
39500	0.184600	0.186804	16.807206	49.495426
40000	0.182400	0.189270	15.965722	49.076254
40500	0.188700	0.187429	16.665991	49.517053
41000	0.184000	0.183245	16.381900	49.678645
41500	0.186900	0.183139	16.790935	50.752184
42000	0.178300	0.183444	16.971378	50.597439
42500	0.187200	0.181136	17.700258	49.584391
43000	0.177500	0.180519	16.486451	50.035341
43500	0.176200	0.181002	18.666935	50.401025
44000	0.180200	0.180830	16.730152	50.093107
44500	0.172500	0.180511	17.039288	50.347160
45000	0.176600	0.181489	16.743379	50.470043
45500	0.171300	0.175858	18.891274	51.050075
46000	0.178100	0.176013	18.377499	49.889913
46500	0.174900	0.176616	18.338037	50.482191
47000	0.149500	0.179415	17.398608	51.658263
47500	0.146600	0.179187	18.753152	51.424946
48000	0.149700	0.177078	18.353663	51.160915
48500	0.160500	0.176260	19.021802	50.891478
49000	0.156500	0.175806	19.080527	51.020845
49500	0.151200	0.174850	18.802445	51.317313
50000	0.154100	0.173553	18.993620	51.552523
50500	0.146500	0.175198	19.185517	52.230660
51000	0.157000	0.173878	18.191900	52.428854
51500	0.148800	0.175029	19.296214	52.414355
52000	0.151800	0.172477	19.456817	52.278545
52500	0.147300	0.173084	19.134709	52.149596
53000	0.137700	0.172944	19.921917	51.899691
53500	0.156000	0.171987	18.027350	52.984735
54000	0.147100	0.171416	19.234542	52.997949
54500	0.140300	0.173059	18.432568	52.289216
55000	0.146000	0.173035	18.375631	51.694953
55500	0.145900	0.172745	18.686593	51.484436
56000	0.150600	0.167932	20.014178	52.538281
56500	0.147500	0.169547	18.980636	52.449177
57000	0.148500	0.169409	18.096910	52.587270
57500	0.145100	0.168292	18.861073	52.178103
58000	0.144400	0.168806	19.313854	51.905932
58500	0.152700	0.168288	19.435101	52.574784
59000	0.142200	0.167828	20.120170	52.346972
59500	0.142500	0.164913	19.771466	53.267766
60000	0.145900	0.164841	19.146765	53.484138
60500	0.145000	0.164061	20.569222	53.632690
61000	0.148300	0.164302	20.621229	54.068482
61500	0.149200	0.165148	20.219724	53.184151
62000	0.148600	0.163822	19.935060	52.970045
62500	0.152700	0.163953	20.010088	53.940642
63000	0.144700	0.161941	20.097125	53.834669
63500	0.142600	0.160557	21.631844	54.107967
64000	0.142600	0.161016	20.173623	53.730432
64500	0.143600	0.160010	20.812208	53.315824
65000	0.151000	0.158833	21.071395	53.737354
65500	0.142700	0.158900	21.448446	53.553615
66000	0.138300	0.159374	20.336405	53.664675
66500	0.143000	0.157207	21.462048	53.741352
67000	0.143600	0.156953	21.130921	53.370327
67500	0.149800	0.156765	21.813076	54.471997
68000	0.141500	0.155343	21.971684	53.904994
68500	0.144100	0.153783	22.245430	54.718310
69000	0.136400	0.154382	21.008285	53.545893
69500	0.142100	0.156220	21.522452	54.189054
70000	0.112800	0.158340	22.171895	54.347397
70500	0.111000	0.159161	21.211601	53.963232
71000	0.112100	0.158596	21.801393	54.078538
71500	0.116800	0.157110	21.759383	54.407916
72000	0.114400	0.155851	21.649061	54.587269
72500	0.119400	0.156619	22.113360	54.442802
73000	0.114300	0.157752	21.031326	55.062794
73500	0.112300	0.157209	21.441604	53.831305
74000	0.115300	0.152193	21.332400	54.651857
74500	0.119900	0.154313	22.303648	55.101567
75000	0.113700	0.153306	22.013305	55.024101
75500	0.114800	0.153949	22.254742	55.299024
76000	0.126900	0.154173	22.115054	55.157805
76500	0.113700	0.156006	22.646507	54.868682
77000	0.117900	0.154491	23.086000	55.014464
77500	0.115800	0.155193	21.815043	54.997027
78000	0.115700	0.154123	22.449468	54.755386
106500	0.078600	0.140582	26.490386	58.199258
107000	0.081300	0.140511	26.420388	58.210626
107500	0.081300	0.141526	26.611162	58.447155
108000	0.078700	0.140373	26.539837	58.314741
108500	0.079900	0.142520	26.501446	58.527343
109000	0.083700	0.141819	25.762914	58.208219
109500	0.078900	0.141599	25.871213	58.944393
110000	0.075300	0.141876	27.193352	58.502922
110500	0.084900	0.141793	26.423668	58.552044
111000	0.076500	0.142209	26.610930	58.576414
111500	0.079200	0.139060	26.957056	59.000958
112000	0.080000	0.139526	27.493405	59.144926
112500	0.076600	0.139187	27.189189	59.191884
113000	0.075000	0.140620	26.829850	58.628704
113500	0.078300	0.138249	26.588348	59.088123
114000	0.077400	0.138739	27.027374	58.617628
114500	0.074300	0.140199	26.937389	58.721336
115000	0.077800	0.138456	27.508127	58.452870
115500	0.080000	0.136095	27.700972	59.112982
116000	0.077200	0.136927	27.052259	58.688206
116500	0.070000	0.138597	27.756692	59.386320
117000	0.069200	0.139376	26.391829	59.436726
117500	0.069100	0.138952	27.342320	58.915362
118000	0.065600	0.140407	27.049939	59.008423
118500	0.072900	0.138809	27.274152	59.078002
119000	0.074000	0.139695	26.835845	58.504476
119500	0.075400	0.139810	26.744431	59.097896
120000	0.071200	0.138594	27.218870	59.078441
120500	0.071300	0.138995	26.732343	59.402173
121000	0.074900	0.136443	27.713982	59.656666
121500	0.069600	0.138385	27.055083	59.479903
122000	0.073700	0.137639	27.764035	59.701650
122500	0.071900	0.136993	27.737875	59.564632
123000	0.074300	0.136740	28.390463	59.782950
123500	0.071200	0.135531	28.312958	59.894128
124000	0.074300	0.136045	28.643271	60.156353
124500	0.069400	0.137361	28.479140	59.741937
125000	0.076100	0.134265	27.947286	60.142225
125500	0.070500	0.136200	26.896023	59.174967
126000	0.075800	0.136385	27.714532	59.567565
126500	0.069800	0.137562	28.662736	59.984488
127000	0.073000	0.133785	28.037158	60.462397
127500	0.072100	0.134576	28.027063	60.093121
128000	0.073300	0.134647	28.108047	60.134414
128500	0.072200	0.133573	29.011790	60.249401
129000	0.068200	0.132815	28.583706	60.219953
129500	0.075400	0.133280	27.291374	59.609803
130000	0.072400	0.133189	28.803749	60.067626
130500	0.070800	0.131741	29.226445	60.720457
131000	0.071400	0.132369	28.871233	60.552249
131500	0.070600	0.132435	28.715723	60.348080
132000	0.073900	0.131202	28.927250	60.763814
132500	0.071800	0.132704	28.773739	60.058117
133000	0.070100	0.132658	28.847494	60.540321
133500	0.073200	0.131183	29.297618	60.671606
134000	0.069600	0.133215	28.623479	60.546835
134500	0.072300	0.130262	28.964390	60.243505
135000	0.070000	0.129661	28.956804	60.793381
135500	0.071200	0.131272	29.660639	61.288918
136000	0.070500	0.128443	29.659392	61.034251
136500	0.069900	0.129720	29.216495	60.235051
137000	0.067900	0.129461	29.538271	60.821427
137500	0.072800	0.128430	29.286275	60.921427
138000	0.066000	0.129831	30.065065	60.840963
138500	0.070200	0.130294	29.047379	60.696790
139000	0.067400	0.130373	29.639519	60.754953
139500	0.072500	0.129108	30.028318	60.990033
140000	0.054400	0.136661	30.057081	60.588223
140500	0.052700	0.136135	29.861848	60.659016
141000	0.057300	0.136453	29.014183	60.704219
141500	0.051500	0.138472	29.493020	60.838786
142000	0.050600	0.136913	29.353162	61.279642
142500	0.052700	0.135450	29.759427	61.157302
143000	0.053000	0.136457	30.499911	61.327077
143500	0.051400	0.136223	30.449056	61.322277
144000	0.052400	0.136095	30.557958	61.135063
144500	0.051500	0.136601	30.101120	61.463034
145000	0.053100	0.133821	30.200706	60.901158
145500	0.056300	0.135470	29.738844	60.833009
146000	0.051300	0.134505	29.986792	61.672360
146500	0.053700	0.133086	29.984271	61.411789
147000	0.052100	0.134278	30.643846	61.764835
147500	0.053400	0.133681	30.475580	61.544217
148000	0.050500	0.133603	30.320896	61.320928
148500	0.052600	0.133569	29.923597	61.200065
149000	0.054700	0.131419	30.838384	61.419272
149500	0.052500	0.132083	31.374426	61.854189
150000	0.051600	0.131402	31.592268	62.141733
150500	0.053300	0.131686	30.352041	61.587414
151000	0.052800	0.131330	31.307536	61.842468
151500	0.055300	0.132875	30.893211	61.805191
152000	0.051600	0.132771	30.780915	61.243665
152500	0.055400	0.131035	31.107983	62.212046
153000	0.056200	0.132089	31.660493	62.135559
153500	0.055900	0.130677	31.461888	62.005602
154000	0.053600	0.130494	31.190028	62.379569
154500	0.054200	0.131859	31.415972	62.080552
155000	0.053600	0.130517	31.901569	62.583264
155500	0.054800	0.129790	32.208997	62.542553
156000	0.054900	0.129374	31.251647	62.339746
156500	0.050700	0.129846	31.608112	62.109693
157000	0.052800	0.130468	31.122836	62.034715
157500	0.053300	0.129774	31.869682	62.275040
158000	0.056500	0.129873	31.230360	62.649885
158500	0.053800	0.129090	32.120985	62.519353
159000	0.055800	0.128465	31.728422	62.395737
159500	0.054400	0.128478	31.953562	62.358796
160000	0.053500	0.127935	32.279248	62.407461
160500	0.055700	0.127649	31.682342	62.633188
161000	0.052600	0.127729	31.919244	62.170587
161500	0.055700	0.127192	32.411141	62.406502
162000	0.054500	0.126960	32.856369	63.043531
162500	0.051400	0.127274	32.737013	62.677656
163000	0.047900	0.128093	32.936300	62.936672
163500	0.036200	0.135956	32.390504	62.392778
164000	0.038800	0.136223	32.579791	62.305577
164500	0.041400	0.133727	32.627168	62.891738
165000	0.037300	0.135992	31.883841	62.538033
165500	0.037400	0.134583	32.840366	62.490688
166000	0.037300	0.134326	32.123005	62.600364
166500	0.038000	0.135826	32.684856	62.725692
167000	0.038200	0.134812	32.411306	62.696648
167500	0.035700	0.135351	32.564227	62.826551
168000	0.036700	0.134706	32.288377	63.172149
168500	0.041500	0.135493	32.170020	62.673065
169000	0.038100	0.135077	32.689405	62.743830
169500	0.039200	0.135038	32.793476	63.102060
170000	0.041100	0.134113	32.642160	62.937102
170500	0.037000	0.135603	32.895090	63.056222
171000	0.040000	0.135468	32.938720	62.493235
171500	0.040600	0.135011	32.526288	62.594819
172000	0.040700	0.132662	33.288325	63.249928
172500	0.039300	0.135412	32.665873	63.093469
173000	0.037000	0.135787	32.734294	62.567313
173500	0.035200	0.132535	33.303571	63.020011
174000	0.036900	0.132493	33.205715	63.038176
174500	0.042100	0.132857	33.172599	63.129738
175000	0.039000	0.133084	32.999246	62.815701
175500	0.040500	0.132210	33.184386	63.331944
176000	0.040100	0.131927	33.339490	63.624450
176500	0.036200	0.133128	33.716291	63.440845
177000	0.039600	0.133278	33.554144	63.064831
177500	0.037400	0.131027	33.950364	63.243856
178000	0.038800	0.130622	34.345117	63.789809
178500	0.038900	0.132453	33.198977	63.334006
179000	0.036500	0.135576	33.415637	63.113501
179500	0.036900	0.132133	34.173520	63.551728
180000	0.039100	0.131982	34.061230	63.833368
180500	0.038200	0.131355	33.696525	63.532679
181000	0.038800	0.132121	34.113905	63.754059
181500	0.036700	0.130992	34.296944	64.063164
182000	0.036000	0.130499	34.176003	63.948000
182500	0.035700	0.131231	33.831699	63.660205
183000	0.039100	0.129193	34.535376	63.829345
183500	0.037600	0.130685	34.534364	63.735751
184000	0.038900	0.129349	35.177807	64.236881
184500	0.040500	0.129025	34.553649	63.931290
185000	0.038900	0.129836	34.325943	64.115222
185500	0.037200	0.129904	34.602418	63.936148
186000	0.037000	0.129208	34.449430	63.997211
186500	0.026200	0.136119	34.298456	63.842618
187000	0.027100	0.136393	34.706608	64.037974
187500	0.026900	0.137523	34.631996	63.922653
188000	0.026000	0.138824	34.370383	63.708887
188500	0.026900	0.139680	34.240367	63.720678
189000	0.027300	0.140053	33.948468	63.573993
189500	0.029100	0.138305	34.480547	63.612745
190000	0.027300	0.138895	34.647656	64.006747
190500	0.029200	0.137904	34.219215	63.659538
191000	0.025800	0.138238	34.915899	64.095856
191500	0.029100	0.137713	34.431275	63.451120
192000	0.029500	0.137353	34.876511	64.055082
192500	0.026900	0.137540	35.061938	64.217092
193000	0.027300	0.137414	34.624092	63.797257
193500	0.024400	0.136280	34.667777	63.916443
194000	0.028300	0.136521	35.269374	64.169404
194500	0.027300	0.136682	35.865154	64.433295
195000	0.025900	0.137745	35.005526	64.349546
195500	0.028900	0.135837	35.354197	64.651915
196000	0.028400	0.136855	35.352424	64.463760
196500	0.028200	0.135572	35.552203	64.583369
197000	0.027200	0.136984	35.176261	64.419282
197500	0.026000	0.136758	36.180328	64.825495
198000	0.025600	0.136873	35.619525	64.520031
198500	0.028500	0.136626	35.551954	64.791766
199000	0.027700	0.136376	35.605002	64.682328
199500	0.027900	0.134582	35.827125	64.901070
200000	0.026500	0.135446	36.075460	65.011316
200500	0.026600	0.135134	36.905310	65.329948
201000	0.026700	0.135409	36.120560	64.974905
201500	0.028100	0.134616	35.975744	64.990731
202000	0.024900	0.135704	35.948774	64.863934
202500	0.025700	0.134261	36.302629	65.066518
203000	0.026700	0.135499	36.804248	65.168167
203500	0.029000	0.134633	36.202507	65.384522
204000	0.025500	0.134203	36.424587	65.054703
204500	0.025800	0.133658	37.037484	65.602915
205000	0.026900	0.134058	36.443316	65.095177
205500	0.027800	0.133127	36.376684	65.076596
206000	0.026900	0.133337	36.248594	65.040056
206500	0.026700	0.133296	36.501145	65.126541
207000	0.028900	0.133639	36.233651	64.892237
207500	0.026100	0.133654	36.262103	65.109880
208000	0.027600	0.132666	36.985959	65.252151
208500	0.026800	0.132983	37.072096	65.271898
209000	0.025100	0.133121	36.982474	65.296159
209500	0.024600	0.133217	36.978643	65.132124
210000	0.021900	0.136860	36.934988	65.034104
210500	0.020000	0.138309	36.641506	64.833097
211000	0.020000	0.138990	36.794814	65.390833
211500	0.021000	0.139181	36.806771	65.170652
212000	0.021500	0.141112	36.423530	65.111626
212500	0.021500	0.140245	36.909683	65.378648
213000	0.019600	0.140490	36.667651	65.004224
213500	0.020800	0.140303	36.734524	65.022091
214000	0.023100	0.140359	36.588038	64.885500
214500	0.022200	0.140209	36.681911	65.197378
215000	0.020000	0.140724	36.702492	65.099929
215500	0.022400	0.140277	37.208063	65.348828
216000	0.020600	0.139936	36.485210	65.065439
216500	0.020500	0.140764	36.773134	65.031532
217000	0.019600	0.140483	36.784119	65.321349
217500	0.020500	0.140491	36.790993	65.239565
218000	0.021100	0.140522	37.052390	65.430716
218500	0.022600	0.140438	37.116887	65.478311
219000	0.020900	0.139736	37.198461	65.403798
219500	0.020000	0.139751	37.410079	65.583033
220000	0.019900	0.139683	37.521709	65.645521
220500	0.020400	0.139908	37.475093	65.536902
