Step	Training Loss	Validation Loss	Bleu	Chrfpp
26000	0.208100	0.135291	17.545418	47.839363
26500	0.204600	0.133682	17.336429	48.582250
27000	0.202600	0.134162	16.951820	49.246702
27500	0.207000	0.135771	16.288617	49.266280
28000	0.193300	0.136229	17.196266	48.261173
28500	0.204100	0.133377	17.363884	49.459080
29000	0.191400	0.131176	17.830843	49.225774
29500	0.196900	0.131170	18.248370	49.764106
30000	0.191100	0.131847	17.845561	49.445408
30500	0.189600	0.131315	17.470230	49.684217
31000	0.193900	0.131725	18.528787	49.019774
31500	0.205500	0.129312	17.973862	49.278572
32000	0.194700	0.128545	18.283986	50.001609
32500	0.182000	0.127388	18.913435	51.134015
33000	0.184600	0.126310	19.796475	50.454063
33500	0.198100	0.125573	20.007690	50.801355
34000	0.182300	0.128371	17.925585	50.070230
34500	0.191400	0.125365	19.578939	51.280177
35000	0.186300	0.122509	20.392921	52.191890
35500	0.191400	0.122108	19.544529	51.756248
36000	0.197700	0.121400	20.046705	51.846929
36500	0.191000	0.121852	19.121538	51.707950
37000	0.189300	0.123467	19.268128	50.404223
37500	0.177900	0.120121	20.880960	52.528291
38000	0.185400	0.118923	20.914632	52.292687
38500	0.183600	0.119087	21.564257	52.384030
39000	0.189800	0.118085	20.729375	52.102725
39500	0.191500	0.118270	21.439147	52.539066
40000	0.184500	0.118364	20.774712	52.957620
40500	0.179000	0.118017	20.930807	52.766862
41000	0.185800	0.117670	20.880633	52.114117
41500	0.166500	0.115968	21.493853	52.589888
42000	0.185700	0.115647	21.282299	52.153999
42500	0.175300	0.114787	22.044505	53.177741
43000	0.184700	0.115014	21.493092	53.155274
43500	0.185300	0.115404	21.118238	52.691517
44000	0.184800	0.115522	21.137745	52.650804
44500	0.181500	0.115989	21.458733	53.072826
45000	0.178900	0.114547	21.950008	53.218576
45500	0.175400	0.112731	22.423554	53.640757
46000	0.182700	0.114219	21.720901	53.367427
46500	0.171300	0.112710	22.071315	53.413319
47000	0.148100	0.113161	21.948424	52.867193
47500	0.145800	0.112933	22.560435	53.425151
48000	0.144700	0.112574	22.540949	53.944568
48500	0.151600	0.114120	22.206760	53.224480
49000	0.151700	0.110854	22.565958	54.143794
49500	0.151600	0.112975	21.716470	53.143653
50000	0.140600	0.114150	22.309535	53.957584
50500	0.148700	0.111160	23.875026	54.764245
51000	0.146100	0.111987	23.214569	54.707156
51500	0.144300	0.110854	23.476856	55.079631
52000	0.145600	0.110744	23.781468	55.168160
52500	0.139300	0.111621	23.242922	54.487461
53000	0.150400	0.110187	23.653256	55.339918
53500	0.152400	0.110138	23.899730	54.433034
54000	0.146600	0.109546	22.960293	54.631371
54500	0.146300	0.109135	23.130290	54.434947
55000	0.140800	0.108383	23.627760	55.156191
55500	0.152300	0.109007	23.498371	54.725580
56000	0.149500	0.108263	23.499996	54.843818
56500	0.155600	0.108612	23.710190	54.437331
57000	0.140600	0.106950	24.130007	54.964980
57500	0.146700	0.107544	22.568457	54.049660
58000	0.146600	0.107153	23.065012	54.904190
58500	0.149300	0.105232	23.911825	55.549224
59000	0.151100	0.105716	23.555974	55.586456
59500	0.139900	0.104639	24.731154	56.145719
60000	0.151700	0.103118	23.634095	55.951714
60500	0.142800	0.104548	24.518324	55.427157
61000	0.143500	0.103127	25.585071	56.162710
61500	0.151900	0.103079	24.880262	56.410292
62000	0.144000	0.104704	24.711873	55.950892
62500	0.144800	0.103992	25.143584	55.928046
63000	0.139200	0.102766	25.225057	55.897213
63500	0.140300	0.102393	25.143110	56.640860
64000	0.151200	0.101357	25.669186	56.912962
64500	0.147100	0.101333	25.611989	56.223082
65000	0.142200	0.100729	26.154822	57.474405
65500	0.135500	0.100292	27.057602	57.560810
66000	0.138700	0.100883	26.307286	56.970975
66500	0.144800	0.100556	25.662371	56.763038
67000	0.143200	0.098816	26.940670	57.440681
67500	0.147200	0.099592	26.138587	57.049927
68000	0.142900	0.100317	25.454317	56.215466
68500	0.135400	0.098668	26.283805	57.559226
69000	0.142200	0.097996	26.898411	57.725595
69500	0.140100	0.097480	27.502453	57.754680
70000	0.135900	0.098857	26.810166	57.169819
70500	0.115300	0.099697	26.634076	57.395874
71000	0.109900	0.100756	26.831388	57.420549
71500	0.124300	0.100464	27.757645	58.251726
72000	0.107700	0.101065	27.407142	58.180919
72500	0.114000	0.099109	27.147405	57.529654
73000	0.115600	0.099421	26.495181	57.565085
73500	0.112800	0.099048	27.257658	57.880477
74000	0.117200	0.100937	27.364399	57.263957
74500	0.119300	0.100311	26.399656	57.942537
75000	0.112000	0.099613	27.891739	58.363686
75500	0.111700	0.099085	27.443083	58.296048
76000	0.122800	0.098159	27.902037	58.416416
76500	0.113100	0.098277	28.527117	58.609166
77000	0.116800	0.097440	27.817953	58.174202
77500	0.117700	0.098216	28.044976	58.261127
78000	0.114700	0.097136	27.443286	58.201666
78500	0.116100	0.097786	27.243949	58.098556
79000	0.117300	0.098177	27.596234	58.280195
79500	0.116000	0.097657	28.252664	58.736465
80000	0.119500	0.097381	27.868208	58.391192
80500	0.119300	0.096672	28.634969	58.522125
81000	0.117400	0.097487	28.489133	58.608177
81500	0.118200	0.096122	27.927710	58.761227
82000	0.117000	0.094852	28.786599	58.988855
82500	0.115700	0.098017	27.085281	58.004944
83000	0.110800	0.095856	28.825607	59.099950
83500	0.111600	0.094781	28.275248	58.942769
84000	0.118400	0.094893	29.284055	59.124826
84500	0.119400	0.094225	29.467970	59.200643
85000	0.113800	0.094310	29.701172	59.511840
85500	0.110500	0.095306	29.259171	59.238133
86000	0.112100	0.095560	29.129596	59.139621
86500	0.112600	0.094375	29.280298	59.443457
87000	0.111200	0.093530	29.428610	59.586204
87500	0.115600	0.093695	28.826274	59.292996
88000	0.115100	0.094509	28.998679	59.123576
88500	0.117500	0.092477	29.872714	59.875037
89000	0.117200	0.092573	29.684179	59.608356
89500	0.114600	0.092257	29.022652	59.496598
90000	0.118700	0.092465	30.006701	59.747307
90500	0.115000	0.091750	29.554729	59.806563
91000	0.112600	0.091450	30.223581	60.211305
91500	0.112900	0.093019	28.845023	59.232366
92000	0.111700	0.091120	30.047717	60.412415
92500	0.115000	0.092700	29.509250	60.174102
93000	0.123800	0.091904	29.472160	59.923903
93500	0.113200	0.090874	29.096311	59.916183
94000	0.090500	0.093879	30.375321	60.139295
94500	0.089700	0.094476	30.716792	60.532969
95000	0.090400	0.095887	28.922699	59.399451
95500	0.085600	0.094720	29.544291	59.870797
96000	0.089200	0.093035	29.666111	60.024133
96500	0.089300	0.095048	30.571181	60.595705
97000	0.085200	0.093901	30.728754	60.409138
97500	0.092900	0.095092	29.548681	60.252542
98000	0.088900	0.094480	30.099738	60.168583
98500	0.083600	0.093706	31.417589	60.890930
99000	0.090300	0.094829	30.333685	60.356518
99500	0.087300	0.092998	29.861059	60.094205
100000	0.088300	0.092729	30.510242	60.308473
100500	0.092100	0.093722	29.495575	60.189692
101000	0.086700	0.093119	29.558280	60.344224
101500	0.091600	0.093087	30.306206	60.634456
102000	0.090500	0.093282	30.122103	60.575424
102500	0.093900	0.091204	30.056243	60.900541
103000	0.089500	0.092368	30.709587	60.787234
103500	0.086700	0.094228	30.017610	60.941787
104000	0.091100	0.092420	30.390630	60.453842
104500	0.092100	0.090639	31.212052	60.837263
105000	0.097700	0.092263	31.115319	60.976880
105500	0.088800	0.091134	31.955220	61.189246
106000	0.086000	0.090255	31.102633	60.887207
106500	0.095800	0.090069	31.497770	61.304786
107000	0.091200	0.090324	31.797285	61.243305
107500	0.088800	0.090161	31.301860	61.297488
108000	0.089300	0.088918	32.378641	61.921717
108500	0.085700	0.090345	30.865385	60.324360
109000	0.087800	0.089050	31.399578	61.773390
109500	0.088600	0.088645	31.407434	61.532963
110000	0.093000	0.088946	31.304123	61.293741
110500	0.086900	0.089161	30.470502	60.859099
111000	0.096300	0.088787	31.891073	61.760536
111500	0.095900	0.088747	30.811273	60.666139
112000	0.095000	0.087422	33.077252	62.290750
112500	0.093600	0.088166	32.370799	62.068832
113000	0.086300	0.087525	32.659975	62.061573
113500	0.089800	0.088173	31.949755	61.621212
114000	0.092700	0.087229	32.510833	61.857729
114500	0.088000	0.087092	31.952334	61.714112
115000	0.093200	0.085785	32.837271	62.258342
115500	0.087400	0.086781	32.193342	61.904529
116000	0.095700	0.086723	31.773960	61.852908
116500	0.092800	0.085958	32.989511	62.304394
117000	0.081900	0.086578	32.433565	62.023195
117500	0.068700	0.089130	33.179055	62.237022
118000	0.067200	0.089615	33.151740	62.271968
118500	0.064700	0.090325	33.534871	62.731456
119000	0.065400	0.091571	32.956419	62.169220
119500	0.066200	0.091360	33.695835	62.464707
120000	0.067900	0.089904	33.220009	62.398868
120500	0.068800	0.089656	33.852782	62.610551
121000	0.067900	0.091038	32.616636	61.906906
121500	0.068200	0.089958	33.590648	62.303744
122000	0.070600	0.089618	34.412769	62.580143
122500	0.071600	0.088215	33.018107	62.341565
123000	0.071800	0.088680	33.974947	62.848418
123500	0.068500	0.089194	33.895688	62.613285
124000	0.067300	0.089538	32.557226	61.822863
124500	0.069600	0.090405	32.330234	61.599571
125000	0.071000	0.088866	34.017320	62.378008
125500	0.067200	0.089581	33.398757	62.317240
126000	0.070400	0.088660	35.142681	63.337910
126500	0.069200	0.087844	33.324769	62.494851
127000	0.069700	0.088250	33.470913	62.496621
127500	0.073100	0.087926	33.572175	62.409342
128000	0.070100	0.087643	34.242901	62.811949
128500	0.061500	0.087613	33.841166	62.832621
129000	0.075100	0.087392	33.626720	62.502390
129500	0.069900	0.087905	34.029757	62.723543
130000	0.067600	0.087822	34.544866	63.151022
130500	0.070000	0.087308	34.708757	63.157323
131000	0.066500	0.087001	34.910955	63.100263
131500	0.073800	0.087322	34.884004	63.250671
132000	0.069500	0.086086	35.034808	63.470606
132500	0.071700	0.086182	33.788547	62.937537
133000	0.071400	0.086060	34.397182	62.998051
133500	0.071400	0.087500	34.409499	63.250510
134000	0.070300	0.086724	35.589583	63.735703
134500	0.067300	0.086316	34.244069	63.351831
135000	0.071600	0.084640	34.929134	63.356130
135500	0.066700	0.086632	35.299585	63.202077
136000	0.066000	0.086969	34.867676	63.269046
136500	0.069100	0.085055	34.959079	63.407304
137000	0.068400	0.084815	34.749712	63.435628
137500	0.067900	0.085765	34.414682	63.427909
138000	0.066000	0.085168	33.666488	62.815137
138500	0.069600	0.085912	34.327004	63.330298
139000	0.070100	0.085336	35.708561	64.104791
139500	0.071300	0.084233	34.357084	63.688253
140000	0.064300	0.083927	35.340649	63.702788
140500	0.061500	0.087864	35.535584	64.095801
141000	0.049400	0.090236	34.603762	63.394711
141500	0.050500	0.091027	34.874270	63.318088
142000	0.047100	0.091307	34.440126	63.148843
142500	0.048900	0.091186	35.326332	63.538190
143000	0.053600	0.090140	35.376653	63.192128
143500	0.052100	0.090052	35.039964	63.466671
144000	0.050800	0.090113	34.595796	62.953281
144500	0.051900	0.089443	36.035521	63.893260
145000	0.053600	0.089790	34.386929	62.815742
145500	0.053700	0.090477	35.677813	63.725653
146000	0.057200	0.088951	35.041380	63.166138
146500	0.051900	0.089111	35.189280	63.312138
147000	0.053300	0.087960	34.718479	63.471650
147500	0.052700	0.089309	34.374677	63.134115
148000	0.050700	0.089402	34.548605	63.328511
148500	0.052400	0.088735	35.355869	63.958405
149000	0.052100	0.089775	35.139684	63.511787
149500	0.053700	0.087560	35.263725	63.740435
150000	0.048400	0.089539	34.175903	63.299254
150500	0.052600	0.088489	35.739421	64.027855
151000	0.056100	0.088323	36.094356	64.248320
151500	0.052600	0.087945	36.430534	64.221545
152000	0.053400	0.087917	36.195522	64.185220
152500	0.051800	0.086843	36.382834	64.293067
153000	0.050900	0.088563	35.795097	63.964053
153500	0.050000	0.087096	36.154819	64.187245
154000	0.053600	0.087953	35.266780	63.940052
154500	0.053700	0.086896	35.681778	63.779570
155000	0.052800	0.087102	35.685988	63.924860
155500	0.050900	0.088107	36.267054	63.985922
156000	0.053600	0.087079	36.322366	64.258293
156500	0.052000	0.087337	35.696750	63.984826
157000	0.051300	0.086412	36.560142	64.470688
157500	0.053900	0.086523	36.790995	64.652941
158000	0.050500	0.085258	35.821461	64.119236
158500	0.053400	0.087446	35.906505	64.001555
159000	0.049600	0.087098	36.130617	64.044248
159500	0.047700	0.086824	36.382068	64.292730
160000	0.050200	0.086411	36.990483	64.694222
160500	0.051700	0.085290	37.489125	64.633779
161000	0.056300	0.085520	36.881852	64.753798
161500	0.054600	0.084593	37.660974	65.295772
162000	0.049900	0.086284	36.754575	64.595721
162500	0.048800	0.085653	36.753733	64.766064
163000	0.052500	0.084972	37.726893	65.237786
163500	0.054200	0.085567	36.809342	64.569957
164000	0.037900	0.089791	37.577892	64.976829
164500	0.038300	0.091580	36.938833	64.666606
165000	0.036700	0.091931	36.709004	64.515845
165500	0.038100	0.094053	35.890369	63.997213
166000	0.038500	0.091624	36.655334	64.671116
166500	0.035900	0.092765	36.521735	64.438506
167000	0.039200	0.091643	37.401890	64.808720
167500	0.037900	0.092404	36.606692	64.458572
168000	0.035600	0.092167	36.798421	64.495922
168500	0.041600	0.091367	36.765375	64.396076
169000	0.037200	0.091952	36.976427	64.682344
169500	0.040700	0.090471	37.843994	65.053911
170000	0.037500	0.091220	36.528822	64.379554
170500	0.038000	0.091645	37.332448	64.949400
171000	0.038700	0.091367	37.678742	65.084449
171500	0.037200	0.091495	37.028393	64.641798
172000	0.039900	0.091614	37.421437	64.795854
172500	0.036900	0.090767	37.762082	65.122689
173000	0.038400	0.091350	37.863149	65.265353
173500	0.035100	0.091234	37.649830	65.062580
174000	0.038300	0.091965	36.791591	64.838431
174500	0.036700	0.091354	38.218155	65.327938
175000	0.038700	0.090495	36.924117	65.088437
175500	0.038100	0.089763	38.068812	65.608277
176000	0.035600	0.090365	37.142075	65.211952
